train,val
"[0.9987081527709961, 0.9914670348167419, 0.9836878061294556, 0.9754097938537598, 0.9668762803077697, 0.9582839846611023, 0.9496900081634522, 0.9411773681640625, 0.9327155947685242, 0.9243603467941284]","[0.9941591620445251, 0.9866434931755066, 0.9784925580024719, 0.970015823841095, 0.9614044427871704, 0.9527714848518372, 0.944180965423584, 0.9356700778007507, 0.927259624004364, 0.918958306312561]"
"[0.9161338090896607, 0.908018946647644, 0.900046706199646, 0.8921608567237854, 0.8844186544418335, 0.876741886138916, 0.8692179799079895, 0.8618207216262818, 0.8544990301132203, 0.8472544193267822]","[0.9107707738876343, 0.9027045369148254, 0.894755482673645, 0.8869249224662781, 0.8792096376419067, 0.8716088533401489, 0.8641206622123718, 0.8567430973052979, 0.8494732975959778, 0.8423104286193848]"
"[0.8401602268218994, 0.8331857919692993, 0.8262584686279297, 0.8194805383682251, 0.8128371715545655, 0.8061489224433899, 0.7996409296989441, 0.7932808876037598, 0.7869719624519348, 0.7807173490524292]","[0.8352468609809875, 0.8282894492149353, 0.8214345574378967, 0.8146758079528809, 0.8080139756202698, 0.8014479875564575, 0.7949745655059814, 0.7885922193527222, 0.7823002338409424, 0.7760961651802063]"
"[0.7745379328727722, 0.7685301780700684, 0.7625265002250672, 0.7566285848617553, 0.7508387327194214, 0.7451360821723938, 0.7394680142402649, 0.733877980709076, 0.7283459901809692, 0.7229661464691162]","[0.7699782848358154, 0.7639460563659668, 0.7579968571662903, 0.752130925655365, 0.7463445067405701, 0.740638017654419, 0.7350088357925415, 0.7294564247131348, 0.7239785194396973, 0.7185747623443604]"
"[0.7175975799560547, 0.7123186349868774, 0.7070604801177979, 0.7019517064094544, 0.6968833923339843, 0.6918326616287231, 0.686868405342102, 0.6820116996765136, 0.6772674918174744, 0.6724668741226196]","[0.7132368087768555, 0.7079771161079407, 0.7027871608734131, 0.6976658701896667, 0.692611575126648, 0.6876238584518433, 0.6827011704444885, 0.6778426170349121, 0.6730462312698364, 0.6683135032653809]"
"[0.6677721977233887, 0.6631278038024903, 0.6585479259490967, 0.6540927529335022, 0.6496355533599854, 0.6452317595481872, 0.6408921957015992, 0.6365149021148682, 0.6323982954025269, 0.6282105445861816]","[0.6636366844177246, 0.6590244770050049, 0.6544713973999023, 0.6499758362770081, 0.6455380320549011, 0.6411563158035278, 0.6368297934532166, 0.6325588822364807, 0.6283402442932129, 0.6241735219955444]"
"[0.6241549968719482, 0.6199823021888733, 0.6160294651985169, 0.6120151162147522, 0.6080537557601928, 0.6041933536529541, 0.6003837585449219, 0.5965553760528565, 0.5928705334663391, 0.589130413532257]","[0.6200553178787231, 0.6159932613372803, 0.6119808554649353, 0.608018159866333, 0.6041035652160645, 0.6002370119094849, 0.5964173674583435, 0.5926437973976135, 0.5889160633087158, 0.5852335095405579]"
"[0.5854861021041871, 0.581863534450531, 0.578335988521576, 0.5749016761779785, 0.5713155746459961, 0.5678891181945801, 0.5645373940467835, 0.5611554622650147, 0.5578426480293274, 0.5545830249786377]","[0.5815879702568054, 0.5779930949211121, 0.5744409561157227, 0.5709313154220581, 0.5674636960029602, 0.56403648853302, 0.5606498122215271, 0.5573035478591919, 0.5539956092834473, 0.5507262349128723]"
"[0.5514031648635864, 0.5481685280799866, 0.5449801445007324, 0.5419334530830383, 0.5387688159942627, 0.535714614391327, 0.5326321959495545, 0.5296411633491516, 0.5267743229866028, 0.5239117980003357]","[0.5474894642829895, 0.5442955493927002, 0.5411391854286194, 0.538019597530365, 0.534935474395752, 0.5318869948387146, 0.5288726687431335, 0.5258928537368774, 0.5229455232620239, 0.5200322270393372]"
"[0.5209234952926636, 0.5181422710418702, 0.5153497219085693, 0.5125089406967163, 0.5097995042800904, 0.5070387601852417, 0.5042980909347534, 0.5017012596130371, 0.49918822646141053, 0.49642218351364137]","[0.5171449780464172, 0.5142971873283386, 0.5114811062812805, 0.5086969137191772, 0.5059433579444885, 0.5032211542129517, 0.5005286335945129, 0.4978652000427246, 0.4952318072319031, 0.49262747168540955]"
"[0.49401727318763733, 0.49126558303833007, 0.4887475848197937, 0.4862475574016571, 0.4838520586490631, 0.4814017295837402, 0.4790537118911743, 0.47662671804428103, 0.474232143163681, 0.4719084918498993]","[0.49004313349723816, 0.48749563097953796, 0.48497629165649414, 0.4824831485748291, 0.4800173044204712, 0.4775776267051697, 0.4751640558242798, 0.47277629375457764, 0.47041454911231995, 0.4680779278278351]"
"[0.4695490479469299, 0.46722986698150637, 0.4649355113506317, 0.4626986622810364, 0.4605204701423645, 0.45848079323768615, 0.4562256634235382, 0.4540000855922699, 0.451959228515625, 0.4498500406742096]","[0.4657570719718933, 0.4634702205657959, 0.46120691299438477, 0.45896753668785095, 0.45675116777420044, 0.45455852150917053, 0.4523887038230896, 0.4502415359020233, 0.4481166899204254, 0.4460141658782959]"
"[0.4476939618587494, 0.445644736289978, 0.44375301599502565, 0.4416961133480072, 0.43969003558158876, 0.43769955039024355, 0.4356986999511719, 0.43375174403190614, 0.4318149209022522, 0.4299506902694702]","[0.44392621517181396, 0.44186726212501526, 0.4398283362388611, 0.4378107786178589, 0.4358144998550415, 0.43383896350860596, 0.4318830966949463, 0.42994701862335205, 0.4280301034450531, 0.42613276839256287]"
