params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
20_60_100,7.170783042907715,0.0,0.02963876724243164,0.0,20,60,100,"{'module__num_units_2': 20, 'module__num_units_1': 60, 'batch_size': 100}",0.027215550596560223,0.027215550596560223,0.0,1,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
15_20_100,6.641695022583008,0.0,0.026415109634399414,0.0,15,20,100,"{'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 100}",0.027153776492711335,0.027153776492711335,0.0,2,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
40_15_100,7.723556756973267,0.0,0.0247189998626709,0.0,40,15,100,"{'module__num_units_2': 40, 'module__num_units_1': 15, 'batch_size': 100}",0.026945438526629006,0.026945438526629006,0.0,3,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
5_5_100,5.330144882202148,0.0,0.02173590660095215,0.0,5,5,100,"{'module__num_units_2': 5, 'module__num_units_1': 5, 'batch_size': 100}",0.026724301303386655,0.026724301303386655,0.0,4,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
30_10_100,10.547768115997314,0.0,0.0263822078704834,0.0,30,10,100,"{'module__num_units_2': 30, 'module__num_units_1': 10, 'batch_size': 100}",0.02649858924357762,0.02649858924357762,0.0,5,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
15_15_100,7.141497850418091,0.0,0.02598714828491211,0.0,15,15,100,"{'module__num_units_2': 15, 'module__num_units_1': 15, 'batch_size': 100}",0.026397370173590562,0.026397370173590562,0.0,6,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
10_40_100,12.52622103691101,0.0,0.030048847198486328,0.0,10,40,100,"{'module__num_units_2': 10, 'module__num_units_1': 40, 'batch_size': 100}",0.025979709797261163,0.025979709797261163,0.0,7,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
20_10_100,7.518137216567993,0.0,0.02619767189025879,0.0,20,10,100,"{'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 100}",0.025806492479429233,0.025806492479429233,0.0,8,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
30_2_100,9.274761199951172,0.0,0.02427196502685547,0.0,30,2,100,"{'module__num_units_2': 30, 'module__num_units_1': 2, 'batch_size': 100}",0.024901214300748653,0.024901214300748653,0.0,9,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
30_40_100,10.430252075195312,0.0,0.027367830276489258,0.0,30,40,100,"{'module__num_units_2': 30, 'module__num_units_1': 40, 'batch_size': 100}",0.02464835213765626,0.02464835213765626,0.0,10,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
60_15_100,10.153183937072754,0.0,0.02657294273376465,0.0,60,15,100,"{'module__num_units_2': 60, 'module__num_units_1': 15, 'batch_size': 100}",0.024608124623291316,0.024608124623291316,0.0,11,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
10_30_100,9.75571608543396,0.0,0.02824091911315918,0.0,10,30,100,"{'module__num_units_2': 10, 'module__num_units_1': 30, 'batch_size': 100}",0.02430111661497658,0.02430111661497658,0.0,12,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
10_2_100,7.16095495223999,0.0,0.02172708511352539,0.0,10,2,100,"{'module__num_units_2': 10, 'module__num_units_1': 2, 'batch_size': 100}",0.023619757149001885,0.023619757149001885,0.0,13,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
80_30_100,9.885820150375366,0.0,0.02847599983215332,0.0,80,30,100,"{'module__num_units_2': 80, 'module__num_units_1': 30, 'batch_size': 100}",0.023578370499442558,0.023578370499442558,0.0,14,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
80_20_100,8.10258674621582,0.0,0.027037858963012695,0.0,80,20,100,"{'module__num_units_2': 80, 'module__num_units_1': 20, 'batch_size': 100}",0.023473314698032044,0.023473314698032044,0.0,15,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
60_25_100,10.005182027816772,0.0,0.02742314338684082,0.0,60,25,100,"{'module__num_units_2': 60, 'module__num_units_1': 25, 'batch_size': 100}",0.02337659092188027,0.02337659092188027,0.0,16,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
2_25_100,6.832910060882568,0.0,0.02636885643005371,0.0,2,25,100,"{'module__num_units_2': 2, 'module__num_units_1': 25, 'batch_size': 100}",0.023045544581195232,0.023045544581195232,0.0,17,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
20_2_100,9.205574989318848,0.0,0.025723934173583984,0.0,20,2,100,"{'module__num_units_2': 20, 'module__num_units_1': 2, 'batch_size': 100}",0.022498606343759997,0.022498606343759997,0.0,18,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
5_20_100,9.834869384765625,0.0,0.02576470375061035,0.0,5,20,100,"{'module__num_units_2': 5, 'module__num_units_1': 20, 'batch_size': 100}",0.02169268844050165,0.02169268844050165,0.0,19,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
2_40_100,6.743748188018799,0.0,0.027009010314941406,0.0,2,40,100,"{'module__num_units_2': 2, 'module__num_units_1': 40, 'batch_size': 100}",0.02147064122943454,0.02147064122943454,0.0,20,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
60_25_1000,7.775285005569458,0.0,0.0233919620513916,0.0,60,25,1000,"{'module__num_units_2': 60, 'module__num_units_1': 25, 'batch_size': 1000}",0.021386844660228554,0.021386844660228554,0.0,21,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
60_40_100,6.233606815338135,0.0,0.02887105941772461,0.0,60,40,100,"{'module__num_units_2': 60, 'module__num_units_1': 40, 'batch_size': 100}",0.021049597104950024,0.021049597104950024,0.0,22,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
25_30_100,6.114288806915283,0.0,0.02796006202697754,0.0,25,30,100,"{'module__num_units_2': 25, 'module__num_units_1': 30, 'batch_size': 100}",0.0206567029390744,0.0206567029390744,0.0,23,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
20_25_1000,5.793062925338745,0.0,0.02302694320678711,0.0,20,25,1000,"{'module__num_units_2': 20, 'module__num_units_1': 25, 'batch_size': 1000}",0.02029304973117574,0.02029304973117574,0.0,24,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
5_30_100,11.357814073562622,0.0,0.02637624740600586,0.0,5,30,100,"{'module__num_units_2': 5, 'module__num_units_1': 30, 'batch_size': 100}",0.02026070679644254,0.02026070679644254,0.0,25,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
25_25_100,5.979912042617798,0.0,0.02775096893310547,0.0,25,25,100,"{'module__num_units_2': 25, 'module__num_units_1': 25, 'batch_size': 100}",0.01992256632050282,0.01992256632050282,0.0,26,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
20_30_100,7.166589975357056,0.0,0.028401851654052734,0.0,20,30,100,"{'module__num_units_2': 20, 'module__num_units_1': 30, 'batch_size': 100}",0.019896368593023905,0.019896368593023905,0.0,27,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
2_15_100,5.722772836685181,0.0,0.025669097900390625,0.0,2,15,100,"{'module__num_units_2': 2, 'module__num_units_1': 15, 'batch_size': 100}",0.019764124136014694,0.019764124136014694,0.0,28,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
25_20_100,5.029967784881592,0.0,0.025537967681884766,0.0,25,20,100,"{'module__num_units_2': 25, 'module__num_units_1': 20, 'batch_size': 100}",0.019735595330779843,0.019735595330779843,0.0,29,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
25_60_100,6.1274988651275635,0.0,0.02968883514404297,0.0,25,60,100,"{'module__num_units_2': 25, 'module__num_units_1': 60, 'batch_size': 100}",0.019534842366260352,0.019534842366260352,0.0,30,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
25_2_100,9.288786888122559,0.0,0.0235750675201416,0.0,25,2,100,"{'module__num_units_2': 25, 'module__num_units_1': 2, 'batch_size': 100}",0.019439261934206753,0.019439261934206753,0.0,31,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
