params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.001_20_10_500,36.11568784713745,0.0,0.019980192184448242,0.0,0.001,20,10,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 500}",0.0656665135022384,0.0656665135022384,0.0,1,0.05868538173882254,0.05868538173882254,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.001_10_20_500,32.33527708053589,0.0,0.023746013641357422,0.0,0.001,10,20,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 500}",0.06387934831091913,0.06387934831091913,0.0,2,0.07355935281403592,0.07355935281403592,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.001_15_20_1000,37.87411308288574,0.0,0.02132892608642578,0.0,0.001,15,20,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 1000}",0.06334638473026188,0.06334638473026188,0.0,3,0.06126938691680117,0.06126938691680117,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_15_10_10000,35.65743088722229,0.0,0.018741130828857422,0.0,0.01,15,10,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 10, 'batch_size': 10000}",0.06181888339292696,0.06181888339292696,0.0,4,0.04909117458013135,0.04909117458013135,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.001_10_10_1000,35.75101900100708,0.0,0.01801276206970215,0.0,0.001,10,10,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 1000}",0.060815529969392546,0.060815529969392546,0.0,5,0.053299842155422605,0.053299842155422605,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.001_15_15_1000,37.758087158203125,0.0,0.019530057907104492,0.0,0.001,15,15,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 15, 'batch_size': 1000}",0.060364045111723996,0.060364045111723996,0.0,6,0.059153303885837616,0.059153303885837616,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_20_10_10000,34.28433299064636,0.0,0.01849198341369629,0.0,0.01,20,10,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 10000}",0.05746227756244071,0.05746227756244071,0.0,7,0.04796050282668418,0.04796050282668418,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.002_20_20_1000,36.70785093307495,0.0,0.01912236213684082,0.0,0.002,20,20,1000,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 20, 'batch_size': 1000}",0.05688915214785295,0.05688915214785295,0.0,8,0.08086695674697297,0.08086695674697297,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_10_10_10000,35.377800941467285,0.0,0.01901102066040039,0.0,0.01,10,10,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 10000}",0.05682268612465202,0.05682268612465202,0.0,9,0.04953297874310192,0.04953297874310192,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.002_20_10_500,35.61798691749573,0.0,0.01764512062072754,0.0,0.002,20,10,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 500}",0.05535963659610266,0.05535963659610266,0.0,10,0.07313558620874339,0.07313558620874339,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_10_20_10000,35.357932806015015,0.0,0.01944112777709961,0.0,0.01,10,20,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 10000}",0.05503474113661366,0.05503474113661366,0.0,11,0.05402244931355871,0.05402244931355871,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.002_10_20_1000,37.6731538772583,0.0,0.019123077392578125,0.0,0.002,10,20,1000,"{'optimizer__lr': 0.002, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 1000}",0.05471544418216312,0.05471544418216312,0.0,12,0.07993310194302328,0.07993310194302328,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_20_15_10000,34.750967025756836,0.0,0.01790904998779297,0.0,0.01,20,15,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 15, 'batch_size': 10000}",0.0522922922980541,0.0522922922980541,0.0,13,0.04234677492436123,0.04234677492436123,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
