params_key,mean_test_score,best_epochs,mean_test_score_rank
0.001_10_15,0.0330064673124726,100.0,1.0
0.001_5_15,0.03236465056702621,100.0,2.0
0.001_10_10,0.0314261293297895,100.0,3.0
0.001_15_10,0.03083178562406742,100.0,4.0
0.001_10_5,0.03078757822833309,100.0,5.0
0.001_5_10,0.03040714767978738,100.0,6.0
0.001_15_15,0.030331096069528118,100.0,7.0
0.001_15_5,0.029720656523246326,100.0,8.0
0.001_5_5,0.0294190352909106,100.0,9.0
0.01_5_5,0.02683719913824666,100.0,10.0
0.01_15_5,0.02616561437155627,100.0,11.0
0.01_10_5,0.02614143568994822,100.0,12.0
0.01_5_10,0.013903751029324151,100.0,13.0
0.01_10_10,0.008811705210334253,100.0,14.0
0.01_5_15,0.007959819486074281,100.0,15.0
0.01_15_10,0.005185722183932162,100.0,16.0
0.01_10_15,-0.006088956648273458,100.0,17.0
0.01_15_15,-0.013751883399734554,100.0,18.0
