args = Namespace(agent_id=-1, agents_no=10, if_FL=0)
Processing client -1
Epoch 000: | Train Loss: 1.01837 | Val Loss: 0.86763
Epoch 001: | Train Loss: 0.71734 | Val Loss: 0.56262
Epoch 002: | Train Loss: 0.43769 | Val Loss: 0.32546
Epoch 003: | Train Loss: 0.28065 | Val Loss: 0.23788
Epoch 004: | Train Loss: 0.23394 | Val Loss: 0.21839
Epoch 005: | Train Loss: 0.22426 | Val Loss: 0.21535
Epoch 006: | Train Loss: 0.22255 | Val Loss: 0.21490
Epoch 007: | Train Loss: 0.22183 | Val Loss: 0.21459
Epoch 008: | Train Loss: 0.22105 | Val Loss: 0.21425
Epoch 009: | Train Loss: 0.22047 | Val Loss: 0.21388
Epoch 010: | Train Loss: 0.21989 | Val Loss: 0.21348
Epoch 011: | Train Loss: 0.21941 | Val Loss: 0.21310
Epoch 012: | Train Loss: 0.21891 | Val Loss: 0.21273
Epoch 013: | Train Loss: 0.21862 | Val Loss: 0.21229
Epoch 014: | Train Loss: 0.21742 | Val Loss: 0.21191
Epoch 015: | Train Loss: 0.21744 | Val Loss: 0.21152
Epoch 016: | Train Loss: 0.21697 | Val Loss: 0.21118
Epoch 017: | Train Loss: 0.21658 | Val Loss: 0.21082
Epoch 018: | Train Loss: 0.21586 | Val Loss: 0.21049
Epoch 019: | Train Loss: 0.21542 | Val Loss: 0.21018
Epoch 020: | Train Loss: 0.21513 | Val Loss: 0.20993
Epoch 021: | Train Loss: 0.21485 | Val Loss: 0.20962
Epoch 022: | Train Loss: 0.21423 | Val Loss: 0.20941
Epoch 023: | Train Loss: 0.21371 | Val Loss: 0.20918
Epoch 024: | Train Loss: 0.21338 | Val Loss: 0.20897
Epoch 025: | Train Loss: 0.21338 | Val Loss: 0.20878
Epoch 026: | Train Loss: 0.21314 | Val Loss: 0.20858
Epoch 027: | Train Loss: 0.21242 | Val Loss: 0.20844
Epoch 028: | Train Loss: 0.21226 | Val Loss: 0.20826
Epoch 029: | Train Loss: 0.21195 | Val Loss: 0.20811
Epoch 030: | Train Loss: 0.21168 | Val Loss: 0.20798
Epoch 031: | Train Loss: 0.21152 | Val Loss: 0.20788
Epoch 032: | Train Loss: 0.21129 | Val Loss: 0.20773
Epoch 033: | Train Loss: 0.21104 | Val Loss: 0.20765
Epoch 034: | Train Loss: 0.21091 | Val Loss: 0.20752
Epoch 035: | Train Loss: 0.21058 | Val Loss: 0.20745
Epoch 036: | Train Loss: 0.21048 | Val Loss: 0.20734
Epoch 037: | Train Loss: 0.21045 | Val Loss: 0.20726
Epoch 038: | Train Loss: 0.21029 | Val Loss: 0.20716
Epoch 039: | Train Loss: 0.21012 | Val Loss: 0.20710
Epoch 040: | Train Loss: 0.20985 | Val Loss: 0.20702
Epoch 041: | Train Loss: 0.20983 | Val Loss: 0.20697
Epoch 042: | Train Loss: 0.20977 | Val Loss: 0.20688
Epoch 043: | Train Loss: 0.20995 | Val Loss: 0.20682
Epoch 044: | Train Loss: 0.20950 | Val Loss: 0.20680
Epoch 045: | Train Loss: 0.20922 | Val Loss: 0.20675
Epoch 046: | Train Loss: 0.20961 | Val Loss: 0.20666
Epoch 047: | Train Loss: 0.20929 | Val Loss: 0.20662
Epoch 048: | Train Loss: 0.20904 | Val Loss: 0.20657
Epoch 049: | Train Loss: 0.20917 | Val Loss: 0.20654
Epoch 050: | Train Loss: 0.20904 | Val Loss: 0.20649
Epoch 051: | Train Loss: 0.20908 | Val Loss: 0.20645
Epoch 052: | Train Loss: 0.20864 | Val Loss: 0.20641
Epoch 053: | Train Loss: 0.20849 | Val Loss: 0.20638
Epoch 054: | Train Loss: 0.20879 | Val Loss: 0.20634
Epoch 055: | Train Loss: 0.20889 | Val Loss: 0.20631
Epoch 056: | Train Loss: 0.20864 | Val Loss: 0.20629
Epoch 057: | Train Loss: 0.20847 | Val Loss: 0.20626
Epoch 058: | Train Loss: 0.20833 | Val Loss: 0.20622
Epoch 059: | Train Loss: 0.20815 | Val Loss: 0.20620
Epoch 060: | Train Loss: 0.20838 | Val Loss: 0.20618
Epoch 061: | Train Loss: 0.20834 | Val Loss: 0.20615
Epoch 062: | Train Loss: 0.20813 | Val Loss: 0.20613
Epoch 063: | Train Loss: 0.20818 | Val Loss: 0.20611
Epoch 064: | Train Loss: 0.20829 | Val Loss: 0.20608
Epoch 065: | Train Loss: 0.20827 | Val Loss: 0.20608
Epoch 066: | Train Loss: 0.20810 | Val Loss: 0.20604
Epoch 067: | Train Loss: 0.20812 | Val Loss: 0.20603
Epoch 068: | Train Loss: 0.20812 | Val Loss: 0.20599
Epoch 069: | Train Loss: 0.20799 | Val Loss: 0.20597
Epoch 070: | Train Loss: 0.20788 | Val Loss: 0.20594
Epoch 071: | Train Loss: 0.20788 | Val Loss: 0.20592
Epoch 072: | Train Loss: 0.20805 | Val Loss: 0.20590
Epoch 073: | Train Loss: 0.20782 | Val Loss: 0.20587
Epoch 074: | Train Loss: 0.20758 | Val Loss: 0.20586
FL training completed; loss_results saved!
